file1,file2,label
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Appellate Procedures.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Miscellaneous.embedding.npy,1
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Appellate Procedures.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Patent Rights_ Limitations_ and Licensing.embedding.npy,1
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Appellate Procedures.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Related Rights.embedding.npy,1
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Appellate Procedures.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Industrial Designs.embedding.npy,0
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Appellate Procedures.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Unfair Competition.embedding.npy,0
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Appellate Procedures.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Trademarks.embedding.npy,0
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Copyright.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Short title and Administration.embedding.npy,1
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Copyright.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Miscellaneous.embedding.npy,1
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Copyright.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Trademarks.embedding.npy,1
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Copyright.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Patents.embedding.npy,0
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Copyright.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Duration_ Rights_ and Licensing of Industrial Designs.embedding.npy,0
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Copyright.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Requirements and Procedure for Registration of Industrial Designs.embedding.npy,0
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Duration_ Rights_ and Licensing of Industrial Designs.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Requirements and Procedure for Registration of Industrial Designs.embedding.npy,1
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Duration_ Rights_ and Licensing of Industrial Designs.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Trademarks.embedding.npy,1
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Duration_ Rights_ and Licensing of Industrial Designs.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Patents.embedding.npy,1
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Duration_ Rights_ and Licensing of Industrial Designs.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Short title and Administration.embedding.npy,0
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Duration_ Rights_ and Licensing of Industrial Designs.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Schedules.embedding.npy,0
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Duration_ Rights_ and Licensing of Industrial Designs.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Industrial Designs.embedding.npy,0
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Industrial Designs.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Miscellaneous.embedding.npy,1
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Industrial Designs.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Short title and Administration.embedding.npy,1
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Industrial Designs.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Patent Rights_ Limitations_ and Licensing.embedding.npy,1
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Industrial Designs.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Related Rights.embedding.npy,0
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Industrial Designs.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Duration_ Rights_ and Licensing of Industrial Designs.embedding.npy,0
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Industrial Designs.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Unfair Competition.embedding.npy,0
c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Miscellaneous.embedding.npy,c:\Users\pasin\Documents\GitHub\legal-moe-project\data\subdomains\ip_law\13. Intellectual_Property_Act_No_36_of_2003__Copyright.embedding.npy,1
